Title,Location,Company,Salary_per_year,Summary
[STAGE] Traitement vidéo embarqué FPGA - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement d'un simulateur de capteur en FPGA pour train autonome - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
Concepteur FPGA H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
Ingénieur design électronique VHDL FPGA pour équipements spatiaux (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Ingénieur développement FPGA F/H - CLZ,Guyancourt (78),Groupe SERMA,None,Ingénieur développement fpga f/h - clz ou similaire: 3 ans (Souhaité).
Stage optimisation implémentation FPGA,Ivry-sur-Seine (94),Sonoscanner,None,"Rejoignez notre équipe R&D, un métier passionnant et à fort potentiel !"
Ingénieur FPGA H/F – Paris SGO,Paris (75),SERMA INGENIERIE,None,Poste d’ingénieurs FPGA sur des projets Défense et Industrie.
"Stage FPGA, interface vidéo numérique H/F",Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur Essais Simulation HWIL H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
"Stage FPGA, évaluation High Level Synthesis H/F",Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
FPGA Intern,Paris (75),NovaSparks,1000,NovaSparks est le leader mondial du traitement de données boursières à base de FPGA.
Stage Deep Learning sur FPGA H/F,Éragny (95),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de…"
H/F Doctorant en Microelectronique: Implémentations des réseaux de neurones oscillatoire par le FPGA pour l'intelligence artificielle,Montpellier (34),CNRS,25620,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
Stage Génération d'architecture FPGA H/F,Éragny (95),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de…"
Ingénieur FPGA (H/F),Bordeaux (33),Abylsen Sigma,30000,"_Un groupe de conseil en ingénierie fondé en 2005, présent en France et à l’international (Belgique, Luxembourg et Suisse)."
Stage Deep Learning sur FPGA H/F,Éragny (95),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de…"
H/F Doctorant en Microelectronique: Implémentations des réseaux de neurones oscillatoire par le FPGA pour l'intelligence artificielle,Montpellier (34),CNRS,25620,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
Stage Génération d'architecture FPGA H/F,Éragny (95),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de…"
Ingénieur FPGA (H/F),Bordeaux (33),Abylsen Sigma,30000,"_Un groupe de conseil en ingénierie fondé en 2005, présent en France et à l’international (Belgique, Luxembourg et Suisse)."
Stage Bac+5 - Ingénieur Développement FPGA et Filtrage Audio F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
STAGE 2021 – Mise en œuvre d’un FPGA spatial de nouvelle génération (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
INGENIEUR HARDWARE FPGA H/F,Élancourt (78),MILESYS,35000,Ingenieur hardware fpga ou similaire: 5 ans (Requis).
INGENIEUR EN SECURITE DE L’INFORMATION JUNIOR (H/F),Paris (75),Airbus,None,"Airbus is a global leader in aeronautics, space and related services."
INGÉNIEUR HARDWARE ELECTRONIQUE #FPGA @EVRY,Évry (91),My Tech Agency,40000,Ingénieur hardware electronique #fpga @evry ou similaire: 3 ans (Requis).
Ingénieur FPGA F/H,Fontenay-aux-Roses (92),Groupe AMETRA,None,Pour renforcer notre BE spécialisé en intégration système et développer notre pôle FPGA.
Ingénieur FPGA H/F,Palaiseau (91),GROUPE CENTUM ADETEL,None,"Depuis plus de 25 ans, CENTUM ADENEO apporte conseil et expertise à ses clients dans le domaine de l’électronique embarqué."
Stage Bac+ 5 - Ingénieur Développement FPGA sur cible Zynq MPSoC F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Ingénieur(e) en électronique/systèmes embarqués - microprocesseur (langage C) H/F,Montigny-le-Bretonneux (78),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Ingénieur conception FPGA – CLZ F/H,Guyancourt (78),SERMA INGENIERIE,None,"Dans le cadre de notre développement, nous recherchons pour l’un de nos clients dans le secteur du spatial un ingénieur conception FPGA f/H."
INGENIEUR EN SECURITE DE L’INFORMATION JUNIOR (H/F),Les Mureaux (78),APSYS Airbus,None,Date de début : 29-09-2020.
INGENIEUR EN SECURITE DE L’INFORMATION JUNIOR (H/F),Les Mureaux (78),APSYS Airbus,None,Date de début : 29-09-2020.
Ingénieur Traitement de Signal - FPGA (H/F),Toulouse (31),Solead RH,40000,"Solead RH est un cabinet de chasse de tête & de recrutement Toulousain, issu du terrain depuis plus d’une dizaine d’années, nous relevons chaque challenge en…"
Stage Bac+ 5 – Ingénieur développement Plateforme FPGA F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Ingénieur Développement FPGA,Saint-Jean-Bonnefonds (42),Mu-Test,34800,Ingénieur développement fpga ou similaire: 1 an (Souhaité).
"Chef de Projet R&D FPGA H/F - Habilitation secret défense - Leader français, fabricant de cartes électroniques complexes FPGA",Lisses (91),Michael Page,60000,"Au titre de Chef de Projets R&D, vous êtes le garant des missions suivantes :"
Stage Bac+ 5 – Ingénieur développement FPGA F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Ingénieur d’Application/Support Technique (FAE) F/H,Chatou (78),MACNICA ATD EUROPE,None,Vous aurez en charge le support technique auprès de nos clients et de l’équipe commerciale pour développer l’intégration des produits de nos partenaires.
Stage Implémentation & validation IP High Speed Ethernet Subsystem sur cible FPGA H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Stage 2021- Ingénieur Electronique/Informatique pour le spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
STAGE 2021 – Mise en œuvre d’un composant crypto sur équipement spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Responsable technique plateforme de test H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
Ingénieur électrotechnique/ électronique de puissance,France,Jeumont Electric,None,"Altawest est un groupe entrepreneur spécialiste des technologies de l’efficacité énergétique et environnementales, exerçant ses activités à destination des…"
ARCHITECTE FPGA ASIC F/H,Nice (06),Progressive,None,"Leader sur un marché spécifique,."
Stage - Implémentation d'un détecteur d'erreur de phase optimisé pour les faibles SNR H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur(e) en électronique/systèmes embarqués - FPGA - CPL Intelligent H/F,Montigny-le-Bretonneux (78),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Ingénieur(e) Développement Logiciel - Toulouse,Toulouse (31),LGM Group,None,"Maintenant que tu as parcouru notre site et bien compris les activités du groupe, voici un focus sur l’entité qui te concerne !"
"Urgent, CDD 4 mois ingénieur électronique ou technicien expérimenté",Saint-Martin-d'Hères (38),ID Partner,27600,"ID partner est une TPE Grenobloise en pleine évolution dans le monde de l’électronique, électrotechnique, automatique, appliquée à des situations concrètes."
