Title,Location,Company,Salary_per_year,Summary
[STAGE] Traitement vidéo embarqué FPGA - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement d'un simulateur de capteur en FPGA pour train autonome - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement de briques VHDL sur FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre de notre programme de R&T et d’innovation dans l’électronique spatiale, vous développerez des modules VHDL sur une nouvelle famille de FPGA…"
Ingénieur design électronique VHDL FPGA pour équipements spatiaux (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Ingénieur – Conception VHDL F/H,Châtillon (92),VITEC,None,"Dans le département Hardware de VITEC, vous intègrerez l’équipe de conception VHDL, qui a pour mission de spécifier, concevoir, intégrer et vérifier les IP VHDL…"
Concepteur FPGA H/F,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
interface physique pour la caractérisation d'équipement Inertielles,Le Plessis-Robinson (92),MBDA,None,"MBDA, au cœur de notre défense… Rejoignez notre groupe, leader européen dans la conception, la fabrication et la commercialisation de missiles et de systèmes d…"
Ingénieur Développeur VHDL F/H,Versailles (78),Triskell Consulting,40000,"Dans le cadre de ses activités de prestations intellectuelles, Triskell consulting recrute pour l’un de ses clients, un Ingénieur Développeur VHDL.."
Ingénieur logiciel embarqué F/H,Châtillon (92),VITEC,None,"En tant que membre de l’équipe de développement logiciel, vous travaillez sur des solutions de traitement multimédia à usage médical, sécurité ou industriel."
Ingénieur développement FPGA F/H - CLZ,Guyancourt (78),Groupe SERMA,None,"Intégrer le Groupe SERMA c'est intégrer un groupe en forte croissance, bénéficiant de 30 ans d'expérience en électronique."
Stage Informatique Industrielle: interface physique pour la caractérisation d'équipement Inertielles,Le Plessis-Robinson (92),Cabinet Kelly OCG,None,"MBDA, au cœur de notre défense…."
Stage 2021- Ingénieur Electronique/Informatique pour le spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
STAGE - Création d'une banque d'algorithmes d'intelligence artificielle H/F,Versailles (78),Nexter,None,L'objectif de ce stage est de constituer une bibliothèque de l'état de l'art des réseaux de neurones artificiels et d'évaluer un ensemble de processeurs cibles…
STAGE 2021 – Mise en œuvre d’un composant crypto sur équipement spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Stage - Implémentation d'un détecteur d'erreur de phase optimisé pour les faibles SNR H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
STAGE 2021 – Mise en œuvre d’un composant crypto sur équipement spatial (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Stage - Implémentation d'un détecteur d'erreur de phase optimisé pour les faibles SNR H/F,Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur FPGA H/F – Paris SGO,Paris (75),SERMA INGENIERIE,None,Poste d’ingénieurs FPGA sur des projets Défense et Industrie.
FPGA Intern,Paris (75),NovaSparks,1000,NovaSparks est le leader mondial du traitement de données boursières à base de FPGA.
"Stage FPGA, interface vidéo numérique H/F",Les Ulis (91),Safran,None,"Dans ce cadre, des briques de traitement vhdl seront réalisées et assemblées pour créer un routeur vidéo."
STAGE - Mise en oeuvre d'une passerelle EtherCAT/CAN H/F,Versailles (78),Nexter,None,L'objet de ce stage est de mettre en œuvre une passerelle EtherCAT/CAN dans un environnement opérationnel permettant de piloter des équipements militaires basés…
Concepteur de bancs de test d'équipements électroniques H/F,Saint-Cloud (92),Dassault Aviation,None,"France, Ile de France, 92 - Saint-Cloud."
"Stage FPGA, évaluation High Level Synthesis H/F",Les Ulis (91),Safran,None,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la…"
Ingénieur intégration et validation d’équipements électroniques numériques (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
Ingénieur Développement Spécialité Electronique,Île-de-France,NEXEYA,None,"Dans le cadre du renforcement de son activité dans les systèmes électroniques embarqués (calculateur et écrans durcis), vous intègrerez l’établissement de Massy…"
Ingénieur électronicien H/F,Saint-Cloud (92),Dassault Aviation,None,"France, Ile de France, 92 - Saint-Cloud."
INGENIEUR DEVELOPPEMENT LOGICIEL EMBARQUE,Angers (49),ARTEION,37200,"Arteion est une entreprise crée en 2011, qui développe des équipements d'analyse médicale innovants."
INGÉNIEUR TRAITEMENT DU SIGNAL H/F,Saint-Aubin-lès-Elbeuf (76),ARELIS,None,"ARELIS, un des fleurons industriel français, est le partenaire de référence pour concevoir et réaliser des sous-systèmes hyperfréquence duaux."
Ingénieur logiciel embarqué DNP H/F CDI,Les Ulis (91),LUMIBIRD,None,"Le groupe Lumibird, leader français pour la fabrication de Lasers à solide, lasers à fibre et diodes lasers pour des applications dans la recherche scientifique…"
Ingénieur(e) Conception FPGA,Toulouse (31),LGM,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
[STAGE] Développement d'un simulateur de capteur en FPGA pour train autonome - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
[STAGE] Développement de briques VHDL sur FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre de notre programme de R&T et d’innovation dans l’électronique spatiale, vous développerez des modules VHDL sur une nouvelle famille de FPGA…"
[STAGE] Développement d'un démonstrateur : Outil de monitoring et déploiement - Toulouse,Toulouse (31),LGM Group,None,"Dans le cadre du passage vers l’industrie 4.0 et de la digitalisation croissante des bancs de tests, LGM Ingénierie souhaite développer un outil de monitoring…"
Développement Python-3 H/F,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Ingénieur électronicien H/F,Saint-Cloud (92),Dassault Aviation,None,"France, Ile de France, 92 - Saint-Cloud."
INGENIEUR DEVELOPPEMENT LOGICIEL EMBARQUE,Angers (49),ARTEION,37200,"Arteion est une entreprise crée en 2011, qui développe des équipements d'analyse médicale innovants."
INGÉNIEUR TRAITEMENT DU SIGNAL H/F,Saint-Aubin-lès-Elbeuf (76),ARELIS,None,"ARELIS, un des fleurons industriel français, est le partenaire de référence pour concevoir et réaliser des sous-systèmes hyperfréquence duaux."
DFT Engineer,Paris (75),IC Resources,None,Salary: Competitive Salary + Benefits + City location!
STAGE 2021 – Mise en œuvre d’un FPGA spatial de nouvelle génération (h/f),Paris (75),Airbus,None,Airbus Defence and Space SAS.
STAGE 2021 - Développement d’un banc de test pour caractériser des détecteurs optiques - Satellites (h/f),Toulouse (31),Airbus,None,Airbus Defence and Space SAS.
Engineering Internship,Sophia Antipolis (06),Arm,None,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin,…"
Senior Analog Designer,Meylan (38),Dolphin Design,None,"Rattaché(e) au Responsable d’équipe et intégré(e) à des équipes projets, vous pilotez les études d’architecte en amont du développement dans l’objectif d…"
Ingénieur Electronique,Toulouse (31),ASTEK,None,Ce que nous allons accomplir ensemble :
Responsable Adjoint BE électronique H/F,Saint-Quentin-en-Yvelines (78),Assystem,None,"Depuis 50 ans, nous sommes animés par la conviction que les ingénieurs, par leur audace, leur expertise et leur capacité à faire bouger les lignes sont les…"
[STAGE] Traitement vidéo embarqué FPGA - Toulouse,Toulouse (31),LGM Group,None,LGM Ingénierie est une entreprise innovante dans le domaine de l’électronique embarquée et des moyens d’essai.
Ingénieur Electronique – Equipement Médical,Puteaux (92),Triskell Consulting,40000,"Dans le cadre du développement d’une nouvelle gamme de produits permettant de réaliser certaines analyses médicales, nous recrutons un Ingénieur en conception…"
Ingénieur JAVA F/H,Clamart (92),SOGETEK INFORMATIQUE,35000,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Embedded Software Engineer,Sophia Antipolis (06),Arm,None,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin,…"
INGENIEUR HARDWARE FPGA H/F,Élancourt (78),MILESYS,35000,Nous recherchons un Ingénieur Hardware FPGA ExpérimentéH/F pour renforcer notre équipe de développement Hardware.
